Variable name,Description,,,
BMISC,Body mass index (BMI),,,
,0. Not applicable,,,
,Greater than 0. but less than 97. Continuous - two decimal,,,
,98. Measurement not taken - refusal,,,
,99. Measurement not taken - other reason,,,
AGEC,Age of person (y),,,
,0. to 98. Continuous,,,
,99. 99 years and over,,,
SMSBC,Social marital status,All persons in household 15 years and over,,
,0. Not applicable,,,
,1. Married in a registered marriage,,,
,2. Married in a de facto marriage,,,
,3. Not married,,,
COBBC,Country of birth,All persons,,
,1. Australia,,,
,"2. Main English speaking countries (Canada, Republic of Ireland, New Zealand, South Africa, United Kingdom, United States of America",,,
,3. Other,,,
FEMLSBC,Female life stages,Females aged 10 years and over,,
,1. Have never menstruated,,,
,2. Currently pregnant,,,
,3. Currently breastfeeding,,,
,4. Currently experiencing menopause,,,
,5. Post menopause,,,
,6. None of these apply,,,
,9. Not applicable,,,
PHDKGWBC,Measured weight (kg),,,
,0. Not applicable,,,
,1. to 150. Continuous - one decimal       ,,,
,997. Measurement not taken - equipment faulty,,,
,998. Measurement not taken - refusal ,,,
,999. Measurement not taken - other reason,,,
PHDCMHBC,Measured height (cm),,,
,0. Not applicable,,,
,1. to 210. Continuous - one decimal    ,,,
,998. Measurement not taken - refusal ,,,
,999. Measurement not taken - other reason,,,
EXLWTBC,Total mins undertaken physical activity in last week,,,
EXLWMBC,Total mins undertaken moderate physical activity in last week,,,
EXLWVBC,Total mins undertaken vigorous physical activity in last week,,,
PHDCMWBC,Measured waist circumference (cm),,,
,0. Not applicable  ,,,
,1. to 200. Continuous - one decimal,,,
,998. Measurement not taken - refusal,,,
,999. Measurement not taken - other reason ,,,
BMR,Basal metabolic rate,All persons,,
,BMR energy / day ,,,
,0-99995 (kJ) Continuous,,,
,99998. Not available,,,
EIBMR1,Energy intake to basal metabolic rate ratio (Day1),All persons,,
,EI:BMR ,,,
,0-9 Continuous - four decimals,,,
,998. Not available,,,
SF2SA1QN,SEIFA - Index of Relative Socio-Economic Disadvantage,,,
,0. Not applicable,,,
